Bandgap,Electron affinity,Acceptor density,CB effective DOS,VB effective DOS,Defect density,Thickness,Dielectric permittivity,PCE
1.30E+00,4.15E+00,1.00E+15,1.00E+17,5.00E+17,1.00E+12,5.00E-01,8.00E+00,3.66E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,5.00E+17,1.00E+12,5.00E-01,1.20E+01,3.65E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,5.00E+17,1.00E+12,1.00E+00,8.00E+00,3.86E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,5.00E+17,1.00E+12,1.00E+00,1.20E+01,3.85E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,5.00E+17,1.00E+14,5.00E-01,8.00E+00,3.10E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,5.00E+17,1.00E+14,5.00E-01,1.20E+01,3.09E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,5.00E+17,1.00E+14,1.00E+00,8.00E+00,3.19E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,5.00E+17,1.00E+14,1.00E+00,1.20E+01,3.19E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,1.00E+18,1.00E+12,5.00E-01,8.00E+00,3.62E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,1.00E+18,1.00E+12,5.00E-01,1.20E+01,3.61E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,1.00E+18,1.00E+12,1.00E+00,8.00E+00,3.81E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,1.00E+18,1.00E+12,1.00E+00,1.20E+01,3.80E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,1.00E+18,1.00E+14,5.00E-01,8.00E+00,3.04E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,1.00E+18,1.00E+14,5.00E-01,1.20E+01,3.04E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,1.00E+18,1.00E+14,1.00E+00,8.00E+00,3.13E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+17,1.00E+18,1.00E+14,1.00E+00,1.20E+01,3.13E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,5.00E+17,1.00E+12,5.00E-01,8.00E+00,3.49E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,5.00E+17,1.00E+12,5.00E-01,1.20E+01,3.48E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,5.00E+17,1.00E+12,1.00E+00,8.00E+00,3.67E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,5.00E+17,1.00E+12,1.00E+00,1.20E+01,3.67E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,5.00E+17,1.00E+14,5.00E-01,8.00E+00,2.91E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,5.00E+17,1.00E+14,5.00E-01,1.20E+01,2.91E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,5.00E+17,1.00E+14,1.00E+00,8.00E+00,3.00E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,5.00E+17,1.00E+14,1.00E+00,1.20E+01,3.00E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,1.00E+18,1.00E+12,5.00E-01,8.00E+00,3.45E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,1.00E+18,1.00E+12,5.00E-01,1.20E+01,3.44E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,1.00E+18,1.00E+12,1.00E+00,8.00E+00,3.62E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,1.00E+18,1.00E+12,1.00E+00,1.20E+01,3.62E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,1.00E+18,1.00E+14,5.00E-01,8.00E+00,2.86E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,1.00E+18,1.00E+14,5.00E-01,1.20E+01,2.86E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,1.00E+18,1.00E+14,1.00E+00,8.00E+00,2.94E+01
1.30E+00,4.15E+00,1.00E+15,1.00E+18,1.00E+18,1.00E+14,1.00E+00,1.20E+01,2.94E+01
1.30E+00,4.15E+00,1.00E+17,1.00E+18,5.00E+17,1.00E+12,1.00E+00,8.00E+00,2.94E+01
1.30E+00,4.15E+00,1.00E+17,1.00E+18,5.00E+17,1.00E+14,1.00E+00,1.20E+01,2.94E+01
1.30E+00,4.15E+00,1.00E+17,1.00E+18,5.00E+17,1.00E+14,1.00E+00,8.00E+00,2.94E+01
1.30E+00,4.15E+00,1.00E+17,1.00E+18,1.00E+18,1.00E+12,1.00E+00,8.00E+00,2.94E+01
1.30E+00,4.20E+00,1.00E+15,1.00E+17,5.00E+17,1.00E+12,5.00E-01,8.00E+00,2.94E+01
